Quiz,Question,Answer,Explain
,"How does Azure Cosmos DB handle global distribution?
a. Automatically distributing data across multiple regions with manual intervention
b. Automatically replicating data across multiple regions without manual intervention/p>
c. Data is only replicated within the same region
d. By replicating data across only one region",Automatically replicating data across multiple regions without manual intervention/p>,"- Tự động phân phối có can thiệp thủ công: Sai, vì Cosmos DB được thiết kế để tự động hóa hoàn toàn việc đồng bộ hóa dữ liệu.
- Tự động sao chép không cần can thiệp: Đúng, bạn chỉ cần chọn khu vực (regions), hệ thống sẽ tự động sao chép và quản lý dữ liệu toàn cầu.
- Chỉ sao chép trong cùng một vùng: Sai, đây là tính năng lưu trữ cục bộ (LRS), không phải đặc tính phân phối toàn cầu của Cosmos DB.
- Chỉ sao chép qua một vùng: Sai, Cosmos DB cho phép bạn cấu hình sao chép dữ liệu đến bất kỳ số lượng vùng Azure nào trên toàn thế giới."
,"What is the purpose of partition keys in Azure Cosmos DB?
a. To group documents into collections
b. To optimize query performance by distributing data across partitions
c. To enforce data consistency
d. To create database backups/p>",To optimize query performance by distributing data across partitions,"- Nhóm tài liệu vào collections: Sai, partition key dùng để phân chia dữ liệu bên trong một container (collection), không phải để tạo ra collection.
- Tối ưu hiệu năng truy vấn và phân phối dữ liệu: Đúng, partition key giúp Azure phân phối dữ liệu đều vào các phân vùng vật lý để tăng tốc độ đọc/ghi.
- Thực thi tính nhất quán dữ liệu: Sai, tính nhất quán (Consistency) được cấu hình ở cấp độ tài khoản hoặc yêu cầu, không phụ thuộc vào partition key.
- Tạo bản sao lưu dữ liệu: Sai, việc sao lưu (backup) là một dịch vụ quản trị riêng biệt của Azure, không liên quan đến cấu trúc phân vùng dữ liệu."
,"Song song ở mức dữ liệu là
a. việc thực hiện song song hoặc đồng thời một chuỗi lệnh trong chương trình máy tính.
b. tập trung vào việc phân phối các luồng thực thi song song trên các nút tính toán song song.
c. một cách thực hiện song song một ứng dụng trên nhiều bộ xử lý.
d. một dạng tính toán song song dựa trên việc tăng kích thước word của bộ xử lý.",một cách thực hiện song song một ứng dụng trên nhiều bộ xử lý.,"- Thực hiện song song chuỗi lệnh: Đây là định nghĩa của song song mức lệnh (Instruction-level parallelism), tập trung vào việc xử lý các lệnh riêng lẻ.
- Phân phối luồng thực thi trên các nút: Đây thường mô tả về lập trình song song trên hệ thống phân tán (Distributed computing) hoặc đa luồng (Multi-threading).
- Thực hiện ứng dụng trên nhiều bộ xử lý: Đúng, song song mức dữ liệu (Data-level parallelism) chia nhỏ dữ liệu để nhiều bộ xử lý thực thi cùng một lúc trên các phần dữ liệu khác nhau.
- Tăng kích thước word của bộ xử lý: Đây là định nghĩa của song song mức bit (Bit-level parallelism), giúp xử lý các số lớn nhanh hơn."
,"To upload a file to an Azure Blob Storage container using PowerShell, which command should be used?
a. Upload-AzureBlob
b. Upload-AzBlob
c. Add-AzStorageBlob
d. Set-AzStorageBlobContent/p>",Set-AzStorageBlobContent/p>,"- Upload-AzureBlob: Sai, đây không phải là một lệnh hợp lệ trong module Azure PowerShell hiện đại.
- Upload-AzBlob: Sai, mặc dù tên nghe có vẻ hợp lý nhưng nó không tồn tại trong thư viện lệnh của Azure.
- Add-AzStorageBlob: Sai, lệnh này thường bị nhầm lẫn nhưng thực tế không được dùng để upload file.
- Set-AzStorageBlobContent: Đúng, đây là lệnh chuẩn để tải (upload) một file từ máy cục bộ lên Azure Blob Storage."
,"Azure Cosmos DB is best described as which type of database?
a. Distributed, multi-model database
b. Key-value store/p>
c. Relational database
d. Document-only database","Distributed, multi-model database","- Distributed, multi-model database: Đúng, đây là cơ sở dữ liệu phân tán toàn cầu và hỗ trợ nhiều mô hình dữ liệu (Document, Graph, Key-value, Column-family).
- Key-value store: Sai, mặc dù có hỗ trợ Key-value (Table API) nhưng đây chỉ là một phần nhỏ trong khả năng của nó.
- Relational database: Sai, Cosmos DB là cơ sở dữ liệu NoSQL (phi quan hệ), dù có thể truy vấn bằng cú pháp giống SQL.
- Document-only database: Sai, nó không chỉ lưu trữ tài liệu mà còn xử lý được cả đồ thị và các cấu trúc dữ liệu khác."
,"You have been hired as an external consultant to evaluate Azure Blob storage. Your team has been using Blob storage for a month now. You want to find the usage and availability of the Blob storage.
You can find the Blob storage usage from the Storage Metrics tab.
a. Đúng
b. Sai","""Đúng""","- Tab Storage Metrics: Đây là nơi cung cấp các biểu đồ và dữ liệu về hiệu suất, lưu lượng và tính sẵn sàng của tài khoản lưu trữ.
- Usage (Sử dụng): Bạn có thể xem tổng dung lượng, số lượng request và băng thông đã tiêu thụ.
- Availability (Tính sẵn sàng): Metrics cung cấp tỷ lệ phần trăm các yêu cầu thành công so với tổng số yêu cầu gửi đến."
,"Các kỹ thuật được sử dụng trong điện toán đám mây.
a. Parallelized and distributed computing
b. Web browser
c. Web service
d. Hardware virtualization","Hardware virtualization, Parallelized and distributed computing, Web service","- Parallelized and distributed computing: Đúng, là nền tảng để xử lý khối lượng dữ liệu khổng lồ trên nhiều máy chủ cùng lúc.
- Web browser: Sai, đây là công cụ truy cập, không phải là kỹ thuật xây dựng nên điện toán đám mây.
- Web service: Đúng, là phương thức để các ứng dụng và dịch vụ đám mây giao tiếp với nhau qua internet.
- Hardware virtualization: Đúng, là kỹ thuật quan trọng nhất (ảo hóa) giúp chia sẻ tài nguyên phần cứng vật lý thành nhiều máy ảo."
,"What is the maximum size of a single blob in Azure Blob Storage?
a. 1 TB
b. 5 TB/p>
c. 2 TB
d. 100 TB",5 TB/p>,
,"Which of the following is used to list all containers in an Azure Storage account using PowerShell?
a. Get-AzureStorageBlobContainer
b. Get-AzStorageContainer
c. List-AzStorageBlobContainer/p>
d. Get-AzStorageContainerList",Get-AzStorageContainer,
,"What is a Request Unit (RU) in Azure Cosmos DB?
a. A measurement of compute capacity for read and write operations/p>
b. A currency unit for billing
c. A unit for measuring network traffic
d. A limit on the number of connections allowed",A measurement of compute capacity for read and write operations/p>,
,"You have been hired as an external consultant to evaluate Azure Blob storage. Your team has been using Blob storage for a month now. You want to find the usage and availability of the Blob storage.
You can find the Blob availability metrics from the Storage Metrics tab.
Chọn câu trả lời chính xác nhất:
a. Đúng
b. Sai","""Sai""",
,"What is the primary use of Azure Blob Storage?
a. Store virtual machine disks
b. Manage databases/p>
c. Store large amounts of unstructured data
d. Host web applications",Store large amounts of unstructured data,"- Lưu trữ đĩa máy ảo: Sai, đây là nhiệm vụ cụ thể của Managed Disks (thực chất là Page Blobs nhưng có dịch vụ quản lý riêng).
- Quản lý cơ sở dữ liệu: Sai, Azure có các dịch vụ riêng như Azure SQL Database hay Cosmos DB cho mục đích này.
- Lưu trữ dữ liệu không cấu trúc: Đúng, đây là mục đích chính, dùng cho ảnh, video, tài liệu, file log và dữ liệu lớn (Big Data).
- Host ứng dụng web: Sai, mặc dù có thể host ""static website"", nhưng dịch vụ chuyên dụng là Azure App Service hoặc Static Web Apps."
,"In Azure Storage, what is the default protocol used for accessing files in File Storage?
a. NFS
b. FTP
c. HTTP
d. SMB/p>",SMB/p>,"a. NFS (Sai) → NFS chỉ hỗ trợ trong một số cấu hình, không phải mặc định.
b. FTP (Sai) → Azure File Storage không dùng FTP.
c. HTTP (Sai) → HTTP dùng cho Blob, không phải File Storage.
d. SMB (Đúng) → Giao thức mặc định để truy cập Azure File Storage."
,"You have been hired as an external consultant to evaluate Azure Blob storage. Your team has been using Blob storage for a month now. You want to find the usage and availability of the Blob storage.
You can find the Blob availability metrics from the Azure Monitor -> Storage Accounts –> Insights tab.
Chọn câu trả lời chính xác nhất:
Đúng
Sai","""Đúng""",→ Blob availability metrics có thể xem trong Azure Monitor → Storage Accounts → Insights.
,"Những kỹ thuật nào giúp cho hệ thống cloud computing có khả năng chịu lỗi
a. access
b. backup
c. single sign on
d. replicate","replicate, backup","- Access (Truy cập): Sai, đây là quyền hạn vào hệ thống, không giúp khắc phục lỗi.
- Backup (Sao lưu): Đúng, giúp khôi phục dữ liệu khi xảy ra sự cố xóa nhầm hoặc hỏng dữ liệu.
- Single Sign On (Đăng nhập một lần): Sai, đây là kỹ thuật xác thực người dùng, không liên quan đến chịu lỗi hệ thống.
- Replicate (Sao chép/Nhân bản): Đúng, là kỹ thuật cốt lõi. Khi một máy chủ hoặc vùng (region) bị lỗi, bản sao ở nơi khác sẽ hoạt động thay thế ngay lập tức."
,"Which Azure Storage feature helps in automatic replication of data across regions for high availability?
a. Geo-redundant storage (GRS)
b. Locally redundant storage (LRS)
c. Read-access geo-redundant storage (RA-GRS)
d. Zone-redundant storage (ZRS)/p>",Geo-redundant storage (GRS),"- Locally redundant storage (LRS): Chỉ sao chép 3 bản trong một trung tâm dữ liệu duy nhất. Nếu trung tâm đó gặp sự cố, dữ liệu sẽ bị mất.
- Zone-redundant storage (ZRS): Sao chép dữ liệu qua 3 Availability Zones trong cùng một vùng (Region). Chịu được lỗi cấp độ tòa nhà nhưng không chịu được lỗi cấp độ vùng.
- Geo-redundant storage (GRS): Đúng, đây là tính năng tự động sao chép dữ liệu sang một vùng địa lý thứ hai (cách vùng chính hàng trăm dặm) để đảm bảo tính sẵn sàng cao nhất ngay cả khi cả một vùng bị thảm họa.
- Read-access geo-redundant storage (RA-GRS): Là một biến thể của GRS, nhưng nó cho phép bạn đọc dữ liệu ở vùng thứ hai ngay cả khi vùng chính vẫn đang hoạt động bình thường."
,"""Storage tiers
You are a data engineer working with an ad serving company. There are three types of data the company wants to store in Azure Blob storage. Select the storage tiers that you should recommend for each of the following scenarios.
A – Auditing data for the last 5 years for yearly financial reporting
B – Data to generate monthly customer expenditure reports
C – Media files to be displayed in online ads""

Hot - 
Cold - 
Archive - ","Hot → C, Cold → B, Archive → A","Explanation
Auditing data is accessed rarely and the use case says yearly financial reporting. So, this is a good candidate for the archive tier. The archive tier requires the data to be stored for at least 180 days.
Monthly customer expenditure data is not used frequently, so it is a good candidate for cold storage. Cold storage requires the data to be stored for at least 30 days.
Media files to be displayed in ads will be used every time the ad is displayed. Hence, this needs to be on the hot tier."
,,,
Quiz 3,,,
,"Lợi ích của điện toán đám mây đối với công ty
a. Giảm nhu cầu sức mạnh tính toán máy cá nhân
b. Giảm đầu tư ban đầu
c. Cải thiện tài nguyên sử dụng
d. Giảm chi phí vận hành","Giảm đầu tư ban đầu, Giảm chi phí vận hành, Cải thiện tài nguyên sử dụng",
,"Trong các module sau, module nào thuộc về SaaS
a. Development Tools
b. Resource Management Interface
c. Mobile device
d. Runtime Environment",Mobile device,"- Development Tools (Công cụ phát triển): Thuộc PaaS. Đây là môi trường để lập trình viên tạo ra phần mềm, không phải phần mềm hoàn chỉnh cho người dùng cuối (SaaS).
- Resource Management Interface (Giao diện quản lý tài nguyên): Thuộc IaaS/PaaS. Dùng để cấu hình hạ tầng (mạng, ổ đĩa, máy ảo), không phải ứng dụng nghiệp vụ.
- Mobile device (Thiết bị di động): Thuộc SaaS. Đây là điểm cuối mà người dùng sử dụng các app SaaS (như Facebook, Gmail, Slack). Trong các bài thi, nó đại diện cho tầng tiếp cận của người dùng cuối.
- Runtime Environment (Môi trường thực thi): Thuộc PaaS. Là nơi cung cấp các thư viện để ứng dụng chạy (như .NET, Java), nằm dưới tầng ứng dụng SaaS."
,"Các component trong Resource Management Interface:
a. Virtual Storage
b. Police-Based Control
c. Virtual Machine
d. Virtual Network","Virtual Machine, Virtual Storage, Virtual Network",
,"Các mô hình triển khải cloud
a. Public cloud
b. Personal Cloud
c. Hybrid Cloud
d. Private cloud","Public cloud, Private cloud, Hybrid Cloud",
,"MS Azure sử dụng database nào trong lưu trữ dữ liệu
a. MSSQL
b. DocumentDB
c. Relational Database Server (RDS)
d. BigQuery","MSSQL, DocumentDB","a. MSSQL (Đúng) → Azure cung cấp Azure SQL Database / SQL Server để lưu trữ dữ liệu quan hệ.
b. DocumentDB (Đúng) → Là tiền thân của Azure Cosmos DB (SQL API).
c. Relational Database Server (RDS) (Sai) → Dịch vụ thuộc AWS, không phải Azure.
d. BigQuery (Sai) → Dịch vụ thuộc Google Cloud, không phải Azure."
,"Azure Databricks được xếp vào model nào?
a. PaaS
b. CaaS
c. SaaS
d. IaaS",PaaS,"a. PaaS (Đúng) → Azure Databricks cung cấp nền tảng phân tích dữ liệu hoàn chỉnh, người dùng không quản lý hạ tầng.
b. CaaS (Sai) → CaaS tập trung vào container, không phải Databricks.
c. SaaS (Sai) → Không phải ứng dụng dùng trực tiếp cho end-user.
d. IaaS (Sai) → Người dùng không quản lý VM hay hạ tầng."
,"Which Azure Active Directory (Azure AD) feature is used to provide access to resources based on organizational policies?
a. multi-factor authentication (MFA)
b. Conditional Access
c. administrative units
d. single sign-on (SSO)",Conditional Access,"a. multi-factor authentication (MFA) (Sai) → Chỉ tăng cường xác thực, không quyết định truy cập theo chính sách.
b. Conditional Access (Đúng) → Cấp quyền truy cập dựa trên chính sách tổ chức (user, device, location…).
c. administrative units (Sai) → Dùng để quản lý người dùng/nhóm, không kiểm soát truy cập.
d. single sign-on (SSO) (Sai) → Đăng nhập một lần, không phải chính sách truy cập."
,"Which cloud approach is used by organizations to take full advantage of on-premises technology investments and allows data and applications to be shared between two environments?
a. hybrid cloud
b. private cloud
c. on-premises datacenter
d. public cloud",hybrid cloud,"a. hybrid cloud (Đúng) → Kết hợp on-premises và cloud, cho phép chia sẻ dữ liệu và ứng dụng giữa hai môi trường.
b. private cloud (Sai) → Chỉ dùng nội bộ, không tận dụng public cloud.
c. on-premises datacenter (Sai) → Chỉ có hạ tầng tại chỗ, không chia sẻ với cloud.
d. public cloud (Sai) → Không tận dụng trực tiếp đầu tư on-premises."
,"Which language is primarily used for querying data in Azure Synapse Analytics?
a. SQL
b. C#
c. Java
d. Python",SQL,"a. SQL (Đúng) → Ngôn ngữ chính để truy vấn dữ liệu trong Azure Synapse Analytics.
b. C# (Sai) → Dùng phát triển ứng dụng, không phải truy vấn dữ liệu.
c. Java (Sai) → Không phải ngôn ngữ truy vấn trong Synapse.
d. Python (Sai) → Dùng cho phân tích/ML, không phải ngôn ngữ truy vấn chính."
,"What is the primary purpose of creating a Virtual Network in Azure?
a. To host virtual machines
b. To manage network traffic between Azure resources
c. To store data securely in the cloud
d. To manage DNS settings for your domain",To manage network traffic between Azure resources,"- Host virtual machines: Sai. Virtual Network (VNet) là môi trường mạng, còn tài nguyên được đặt vào đó mới là Virtual Machines.
- Manage network traffic: Đúng. Mục đích chính của VNet là cho phép các tài nguyên Azure (như VM) liên lạc với nhau, với Internet hoặc với mạng tại chỗ (on-premises) một cách an toàn và có kiểm soát.
- Store data securely: Sai. Đây là nhiệm vụ của Azure Storage hoặc Azure SQL Database.
- Manage DNS settings: Sai. Mặc dù VNet có dịch vụ DNS riêng, nhưng công cụ chuyên dụng để quản lý tên miền là Azure DNS."
,"Một số thuộc tính mong muốn của một hệ thống phân tán quy mô lớn đã được giới thiệu trong bài 1. Danh sách bao gồm tính minh bạch của quyền truy cập, vị trí, đồng thời, sao chép, khả năng chịu lỗi, di chuyển, hiệu suất và mở rộng. Phân tích cách từng thuộc tính này áp dụng cho Azure mà em biết.","Các thuộc tính mong muốn của một hệ thống phân tán quy mô lớn đều được thể hiện trong Azure:
Tính minh bạch truy cập: Azure cho phép người dùng truy cập tài nguyên thống nhất, không phụ thuộc vị trí hay cách triển khai.
Tính minh bạch vị trí: Vị trí vật lý của dữ liệu và dịch vụ được ẩn đi, đảm bảo người dùng chỉ thấy một không gian tài nguyên logic.
Tính minh bạch đồng thời: Azure duy trì tính nhất quán khi nhiều tiến trình truy cập tài nguyên cùng lúc.
Tính minh bạch sao chép: Việc sao chép dữ liệu giữa các nút được thực hiện tự động, người dùng vẫn thấy một bản dữ liệu duy nhất.
Khả năng chịu lỗi: Hệ thống tiếp tục hoạt động ổn định dù xảy ra lỗi phần cứng hay phần mềm.
Tính minh bạch di chuyển: Tài nguyên có thể được di chuyển trong hệ thống mà không ảnh hưởng đến truy cập của người dùng.
Hiệu suất: Hệ thống đảm bảo tốc độ xử lý cao và thời gian đáp ứng ổn định khi quy mô tăng.
Khả năng mở rộng: Azure có khả năng mở rộng linh hoạt theo nhu cầu sử dụng, cả về tài nguyên và người dùng.",
,"__________ enables you to scale to thousands of virtual machines for high-performance computing and large-scale parallel jobs.
a. An Azure virtual machine scale set
b. An availability set
c. An availability zone
d. Azure Batch",Azure Batch,"a. An Azure virtual machine scale set (Sai) → Dùng để scale VM cho ứng dụng, không chuyên cho HPC và job song song lớn.
b. An availability set (Sai) → Dùng cho high availability, không để scale hàng nghìn VM.
c. An availability zone (Sai) → Dùng cho khả năng chịu lỗi theo zone, không quản lý job song song.
d. Azure Batch (Đúng) → Dịch vụ chạy high-performance computing và large-scale parallel jobs, tự động scale đến hàng nghìn VM."
,"What is Azure Synapse Analytics?
a. A file storage service
b. A machine learning platform
c. A cloud-based data warehousing solution
d. An IoT data processing service",A cloud-based data warehousing solution,"- A file storage service: Sai, đây là nhiệm vụ của Azure Blob Storage hoặc Azure Files.
- A machine learning platform: Sai, nền tảng chuyên biệt là Azure Machine Learning (mặc dù Synapse có tích hợp với nó).
- A cloud-based data warehousing solution: Đúng. Azure Synapse là một dịch vụ phân tích không giới hạn, kết hợp giữa kho dữ liệu doanh nghiệp (Data Warehousing) và phân tích dữ liệu lớn (Big Data analytics).
- An IoT data processing service: Sai, dịch vụ chuyên cho IoT là Azure IoT Hub hoặc Stream Analytics."
,"Which tool is commonly used to develop and execute queries in Azure Synapse Analytics?
a. Azure Data Factory
b. Azure Data Studio
c. Azure DevOps
d. Azure Machine Learning Studio",Azure Data Studio,"a. Azure Data Factory (Sai) → Dùng để ETL/ELT, không phải công cụ chính để viết truy vấn.
b. Azure Data Studio (Đúng) → Công cụ phổ biến để viết và chạy SQL queries cho Azure Synapse.
c. Azure DevOps (Sai) → Dùng quản lý CI/CD, không để truy vấn dữ liệu.
d. Azure Machine Learning Studio (Sai) → Dùng cho ML, không cho truy vấn Synapse."
,"You use __________ to organize resources in an Azure subscription.
a. Azure regions
b. Administrative units
c. Management groups
d. Resource groups",Resource groups,"a. Azure regions (Sai) → Regions dùng để triển khai tài nguyên theo vị trí địa lý, không phải để tổ chức.
b. Administrative units (Sai) → Dùng trong Azure AD, không tổ chức tài nguyên.
c. Management groups (Sai) → Dùng để quản lý nhiều subscription, không phải trong một subscription.
d. Resource groups (Đúng) → Dùng để tổ chức và quản lý tài nguyên trong một Azure subscription."
,,,
Quiz 4,,,
,"Which of the following is NOT a type of secret that can be stored in Azure Key Vault?
a. Virtual machine images
b. Connection strings
c. Passwords
d. API keys",Virtual machine images,"a. Virtual machine images (Sai) → VM images không phải secret, được lưu ở dịch vụ khác (Compute/Storage).
b. Connection strings (Đúng) → Có thể lưu an toàn trong Azure Key Vault.
c. Passwords (Đúng) → Là loại secret phổ biến trong Key Vault.
d. API keys (Đúng) → Có thể lưu và quản lý trong Key Vault."
